ID;Количество комнат;Тип;Метро;Адрес;Площадь, м2;Дом;Парковка;Цена;Телефоны;Описание;Площадь комнат, м2;Название ЖК;Высота потолков, м;Лифт;Ссылка на объявление
315713686;2;Продажа квартиры в новостройке;м. Речной вокзал (6 мин пешком);Москва, Фестивальная улица, 15к6;49.3/32.3/7.0;13/35, Монолитный;;21275365 руб., Свободная продажа;+74951462481;"Наиболее удобный вариант планировки однокомнатной квартиры, её особенность - максимально эффективное использование площади. Просторная кухня-гостиная позволит вам с комфортом разместиться и принимать гостей у себя дома, а великолепные виды из широкоформатных окон на  тихий благоустроенный двор дополнят преимущества квартиры.

""Фестиваль Парк""  это продуманный до мелочей жилой комплекс, окруженный зелеными парками и живописными прудами. Настоящая мечта, которая стала реальностью.
ЖК ""Фестиваль Парк"" разместился в престижном Левобережном районе Москвы в двух минутах ходьбы от метро ""Речной вокзал"". Это одно из лучших мест столицы с точки зрения экологии - вокруг домов разбиты парки и скверы. В пешей доступности от комплекса находятся Парк Дружбы, Фестивальные пруды и набережная Химкинского водохранилища.

Преимущества:
	Панорамные виды из окон
	Жизнь в окружении парков и водоемов
	Эффектная современная архитектура
	Стильные авторские лобби
	Закрытый благоустроенный двор без машин
	2х уро ..., 19 фото";;Фестиваль парк-2, Корпус - Корпус 24.1, Срок сдачи (год, квартал) - 2024, Четвертый;3.1;;https://www.cian.ru/sale/flat/315713686
315713708;2;Продажа квартиры в новостройке;м. Речной вокзал (6 мин пешком);Москва, Фестивальная улица, 15к6;49.5/32.3/7.0;16/35, Монолитный;;21565193 руб., Свободная продажа;+74951462481;"Наиболее удобный вариант планировки однокомнатной квартиры, её особенность - максимально эффективное использование площади. Просторная кухня-гостиная позволит вам с комфортом разместиться и принимать гостей у себя дома, а великолепные виды из широкоформатных окон на  тихий благоустроенный двор дополнят преимущества квартиры.

""Фестиваль Парк""  это продуманный до мелочей жилой комплекс, окруженный зелеными парками и живописными прудами. Настоящая мечта, которая стала реальностью.
ЖК ""Фестиваль Парк"" разместился в престижном Левобережном районе Москвы в двух минутах ходьбы от метро ""Речной вокзал"". Это одно из лучших мест столицы с точки зрения экологии - вокруг домов разбиты парки и скверы. В пешей доступности от комплекса находятся Парк Дружбы, Фестивальные пруды и набережная Химкинского водохранилища.

Преимущества:
	Панорамные виды из окон
	Жизнь в окружении парков и водоемов
	Эффектная современная архитектура
	Стильные авторские лобби
	Закрытый благоустроенный двор без машин
	2х уро ..., 19 фото";;Фестиваль парк-2, Корпус - Корпус 24.1, Срок сдачи (год, квартал) - 2024, Четвертый;3.1;;https://www.cian.ru/sale/flat/315713708
315713693;2;Продажа квартиры в новостройке;м. Речной вокзал (6 мин пешком);Москва, Фестивальная улица, 15к6;49.5/32.3/7.0;15/35, Монолитный;;21514325 руб., Свободная продажа;+74951462481;"Наиболее удобный вариант планировки однокомнатной квартиры, её особенность - максимально эффективное использование площади. Просторная кухня-гостиная позволит вам с комфортом разместиться и принимать гостей у себя дома, а великолепные виды из широкоформатных окон на  тихий благоустроенный двор дополнят преимущества квартиры.

""Фестиваль Парк""  это продуманный до мелочей жилой комплекс, окруженный зелеными парками и живописными прудами. Настоящая мечта, которая стала реальностью.
ЖК ""Фестиваль Парк"" разместился в престижном Левобережном районе Москвы в двух минутах ходьбы от метро ""Речной вокзал"". Это одно из лучших мест столицы с точки зрения экологии - вокруг домов разбиты парки и скверы. В пешей доступности от комплекса находятся Парк Дружбы, Фестивальные пруды и набережная Химкинского водохранилища.

Преимущества:
	Панорамные виды из окон
	Жизнь в окружении парков и водоемов
	Эффектная современная архитектура
	Стильные авторские лобби
	Закрытый благоустроенный двор без машин
	2х уро ..., 19 фото";;Фестиваль парк-2, Корпус - Корпус 24.1, Срок сдачи (год, квартал) - 2024, Четвертый;3.1;;https://www.cian.ru/sale/flat/315713693
315819530;1;Продажа квартиры в новостройке;м. Алексеевская (9 мин пешком);Москва, Староалексеевская улица, 5А;52.0;3/27, Монолитный;подземная;21725835 руб., 214-ФЗ;+74951374303;"Продаётся квартира в готовом жилом комплексе бизнес-класса ""Лайм"" в 5 минутах ходьбы от ст. метро Алексеевская. Действуют рассрочки, семейная ипотека.

Дом сдан!!! Сделка по ДКП, ключи сразу после оплаты!

ЖК ""Лайм"" благоустроен и заселен более, чем наполовину. В составе комплекса  подземный паркинг, до которого можно спуститься на лифте с любого этажа. Территория полностью огорожена, находится под круглосуточной охраной и видеонаблюдением. Во дворе есть детская площадка для малышей, баскетбольная площадка с трибунами для подростков, а также лаунж-зона с деревянными шезлонгами и столиками для взрослых. В ЖК ""Лайм"" реализована концепция ""двор без машин"", которая делает закрытую прилегающую территорию безопасной. Входные группы расположены на уровне земли для создания безбарьерной среды, что облегчает проезд детских колясок, транспортировку тяжелых грузов и передвижение маломобильных групп граждан. От комплекса до Проспекта Мира всего 3 минуты пешком, до станции метро ""Алексеевская""  5 м ..., 20 фото";;Лайм, Корпус - 5а, Срок сдачи (год, квартал) - 2022, Первый;;;https://www.cian.ru/sale/flat/315819530
307196766;2, Изолированная;Продажа квартиры в новостройке;м. Водный стадион (4 мин на машине);Москва, Михалковская улица, 48к1;56.2/30.6/11.3;4/20, Монолитный;подземная;21888776 руб., 214-ФЗ, Возможна ипотека;+74951378725;"Ипотека для семей с детьми! Полная стоимость кредита: от 3,752% - 4,754%. Ставка от 2,99% фиксируется на весь срок с даты заключения кредитного договора. ПАО ""МОСКОВСКИЙ КРЕДИТНЫЙ БАНК"" Лицензия  1978 от 06.05.2016.

Скидка до 9% при покупке квартиры! Цена указана с учетом максимального размера скидки.

Идет выдача ключей. 

Продаётся 2-к квартира 56,2 кв.м. в ЖК ""Михалковский"" на 4-м этаже 20 этажного дома.

Ипотека 3,5% для каждого. ПСК: 23,64% - 24,54%. Ставка 3,5% фиксируется на 1 год с даты заключения кредитного договора, далее применяется рыночная ставка на стандартных условиях до окончания срока кредитования.
Первоначальный взнос — от 30%. Срок кредитования — до 30 лет. ПАО ""МОСКОВСКИЙ КРЕДИТНЫЙ БАНК"" Лицензия  1978 от 06.05.16.
Воспользоваться предложением возможно только до 18.04.25г.

Ипотека для семей с детьми: ставка от 3,5%. ПСК: 3,798% до 9,982%. Ставка 3,5% фиксируется на весь срок кредитования с даты заключения кредитного договора.
Первоначальный взнос — от 20,1%. Срок  ..., 31 фото";16.2-14.4;Михалковский, Корпус - Корпус 3, Срок сдачи 2024;2.8;Груз (10);https://www.cian.ru/sale/flat/307196766
311419362;2, Изолированная;Продажа квартиры в новостройке;м. Водный стадион (4 мин на машине);Москва, Михалковская улица, 48к1;55.8/30.5/11.2;9/20, Монолитный;подземная;21936096 руб., 214-ФЗ, Возможна ипотека;+74951378725;"Ипотека для семей с детьми! Полная стоимость кредита: от 3,752% - 4,754%. Ставка от 2,99% фиксируется на весь срок с даты заключения кредитного договора. ПАО ""МОСКОВСКИЙ КРЕДИТНЫЙ БАНК"" Лицензия  1978 от 06.05.2016.

Скидка до 9% при покупке квартиры! Цена указана с учетом максимального размера скидки.

Идет выдача ключей. 

Продаётся 2-к квартира 55,8 кв.м. в ЖК ""Михалковский"" на 9-м этаже 20 этажного дома.

Ипотека 3,5% для каждого. ПСК: 23,64% - 24,54%. Ставка 3,5% фиксируется на 1 год с даты заключения кредитного договора, далее применяется рыночная ставка на стандартных условиях до окончания срока кредитования.
Первоначальный взнос — от 30%. Срок кредитования — до 30 лет. ПАО ""МОСКОВСКИЙ КРЕДИТНЫЙ БАНК"" Лицензия  1978 от 06.05.16.
Воспользоваться предложением возможно только до 18.04.25г.

Ипотека для семей с детьми: ставка от 3,5%. ПСК: 3,798% до 9,982%. Ставка 3,5% фиксируется на весь срок кредитования с даты заключения кредитного договора.
Первоначальный взнос — от 20,1%. Срок  ..., 31 фото";16.1-14.4;Михалковский, Корпус - Корпус 3, Срок сдачи 2024;2.8;Груз (10);https://www.cian.ru/sale/flat/311419362
296839756;2, Изолированная;Продажа квартиры в новостройке;м. Водный стадион (4 мин на машине);Москва, Михалковская улица, 48к1;56.1/30.6/11.2;14/20, Монолитный;подземная;22054032 руб., 214-ФЗ, Возможна ипотека;+74951378725;"Ипотека для семей с детьми! Полная стоимость кредита: от 3,752% - 4,754%. Ставка от 2,99% фиксируется на весь срок с даты заключения кредитного договора. ПАО ""МОСКОВСКИЙ КРЕДИТНЫЙ БАНК"" Лицензия  1978 от 06.05.2016.

Скидка до 9% при покупке квартиры! Цена указана с учетом максимального размера скидки.

Идет выдача ключей. 

Продаётся 2-к квартира 56,1 кв.м. в ЖК ""Михалковский"" на 14-м этаже 20 этажного дома.

Ипотека 3,5% для каждого. ПСК: 23,64% - 24,54%. Ставка 3,5% фиксируется на 1 год с даты заключения кредитного договора, далее применяется рыночная ставка на стандартных условиях до окончания срока кредитования.
Первоначальный взнос — от 30%. Срок кредитования — до 30 лет. ПАО ""МОСКОВСКИЙ КРЕДИТНЫЙ БАНК"" Лицензия  1978 от 06.05.16.
Воспользоваться предложением возможно только до 18.04.25г.

Ипотека для семей с детьми: ставка от 3,5%. ПСК: 3,798% до 9,982%. Ставка 3,5% фиксируется на весь срок кредитования с даты заключения кредитного договора.
Первоначальный взнос — от 20,1%. Срок ..., 31 фото";16.2-14.4;Михалковский, Корпус - Корпус 3, Срок сдачи 2024;2.8;Груз (10);https://www.cian.ru/sale/flat/296839756
308353101;1;Продажа квартиры в новостройке;м. Алексеевская (9 мин пешком);Москва, Староалексеевская улица, 5А;51.1;11/27, Монолитный;подземная;22243192 руб., 214-ФЗ;+74951374303;"Продаётся квартира в готовом жилом комплексе бизнес-класса ""Лайм"" в 5 минутах ходьбы от ст. метро Алексеевская. Действуют рассрочки, семейная ипотека.

Дом сдан!!! Сделка по ДКП, ключи сразу после оплаты!

ЖК ""Лайм"" благоустроен и заселен более, чем наполовину. В составе комплекса  подземный паркинг, до которого можно спуститься на лифте с любого этажа. Территория полностью огорожена, находится под круглосуточной охраной и видеонаблюдением. Во дворе есть детская площадка для малышей, баскетбольная площадка с трибунами для подростков, а также лаунж-зона с деревянными шезлонгами и столиками для взрослых. В ЖК ""Лайм"" реализована концепция ""двор без машин"", которая делает закрытую прилегающую территорию безопасной. Входные группы расположены на уровне земли для создания безбарьерной среды, что облегчает проезд детских колясок, транспортировку тяжелых грузов и передвижение маломобильных групп граждан. От комплекса до Проспекта Мира всего 3 минуты пешком, до станции метро ""Алексеевская""  5 м ..., 20 фото";;Лайм, Корпус - 5а, Срок сдачи (год, квартал) - 2022, Первый;;;https://www.cian.ru/sale/flat/308353101
308416070;2, Изолированная;Продажа квартиры в новостройке;м. Водный стадион (4 мин на машине);Москва, Михалковская улица, 48к1;57.5/30.9/11.9;15/20, Монолитный;подземная;22374170 руб., 214-ФЗ, Возможна ипотека;+74951378725;"Ипотека для семей с детьми! Полная стоимость кредита: от 3,752% - 4,754%. Ставка от 2,99% фиксируется на весь срок с даты заключения кредитного договора. ПАО ""МОСКОВСКИЙ КРЕДИТНЫЙ БАНК"" Лицензия  1978 от 06.05.2016.

Скидка до 9% при покупке квартиры! Цена указана с учетом максимального размера скидки.

Идет выдача ключей. 

Продаётся 2-к квартира 57,5 кв.м. в ЖК ""Михалковский"" на 15-м этаже 20 этажного дома.

Ипотека 3,5% для каждого. ПСК: 23,64% - 24,54%. Ставка 3,5% фиксируется на 1 год с даты заключения кредитного договора, далее применяется рыночная ставка на стандартных условиях до окончания срока кредитования.
Первоначальный взнос — от 30%. Срок кредитования — до 30 лет. ПАО ""МОСКОВСКИЙ КРЕДИТНЫЙ БАНК"" Лицензия  1978 от 06.05.16.
Воспользоваться предложением возможно только до 18.04.25г.

Ипотека для семей с детьми: ставка от 3,5%. ПСК: 3,798% до 9,982%. Ставка 3,5% фиксируется на весь срок кредитования с даты заключения кредитного договора.
Первоначальный взнос — от 20,1%. Срок ..., 31 фото";15.9-15;Михалковский, Корпус - Корпус 3, Срок сдачи 2024;2.8;Груз (10);https://www.cian.ru/sale/flat/308416070
303136764;2, Изолированная;Продажа квартиры в новостройке;м. Водный стадион (4 мин на машине);Москва, Михалковская улица, 48к1;56.2/30.7/11.3;19/20, Монолитный;подземная;22400196 руб., 214-ФЗ, Возможна ипотека;+74951378725;"Ипотека для семей с детьми! Полная стоимость кредита: от 3,752% - 4,754%. Ставка от 2,99% фиксируется на весь срок с даты заключения кредитного договора. ПАО ""МОСКОВСКИЙ КРЕДИТНЫЙ БАНК"" Лицензия  1978 от 06.05.2016.

Скидка до 9% при покупке квартиры! Цена указана с учетом максимального размера скидки.

Идет выдача ключей. 

Продаётся 2-к квартира 56,2 кв.м. в ЖК ""Михалковский"" на 19-м этаже 20 этажного дома.

Ипотека 3,5% для каждого. ПСК: 23,64% - 24,54%. Ставка 3,5% фиксируется на 1 год с даты заключения кредитного договора, далее применяется рыночная ставка на стандартных условиях до окончания срока кредитования.
Первоначальный взнос — от 30%. Срок кредитования — до 30 лет. ПАО ""МОСКОВСКИЙ КРЕДИТНЫЙ БАНК"" Лицензия  1978 от 06.05.16.
Воспользоваться предложением возможно только до 18.04.25г.

Ипотека для семей с детьми: ставка от 3,5%. ПСК: 3,798% до 9,982%. Ставка 3,5% фиксируется на весь срок кредитования с даты заключения кредитного договора.
Первоначальный взнос — от 20,1%. Срок ..., 31 фото";16.2-14.5;Михалковский, Корпус - Корпус 3, Срок сдачи 2024;2.8;Груз (10);https://www.cian.ru/sale/flat/303136764
